City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,bayanaul,50.7889,75.6956,46.4,56,91,8.79,KZ,1696304887
256,kertih,4.5141,103.4483,86.09,74,20,5.01,MY,1696304667
257,namibe,-15.1961,12.1522,64.81,91,48,5.17,AO,1696304887
258,puerto aysen,-45.4,-72.7,36.93,99,100,2.66,CL,1696304887
259,villagarzon,1.0375,-76.6267,72.03,91,82,5.37,CO,1696304887
260,mesyagutovo,55.5303,58.2528,53.89,70,100,6.35,RU,1696304887
261,tateyama,34.9833,139.8667,75.36,54,50,5.12,JP,1696304888
262,revda,56.801,59.9303,52.79,76,100,7.65,RU,1696304888
263,binbrook,43.121,-79.804,69.76,82,0,5.75,CA,1696304888
264,jiayuguan,39.8167,98.3,62.82,29,100,11.61,CN,1696304888
265,dhuusamarreeb,5.535,46.3861,77.97,70,5,15.1,SO,1696304888
266,port douglas,-16.4833,145.4667,77.72,71,65,9.73,AU,1696304888
267,kosh-agach,50.0,88.6667,39.24,60,6,2.35,RU,1696304889
268,ancud,-41.8697,-73.8203,42.33,77,72,1.28,CL,1696304889
269,ar ruways,24.1103,52.7306,89.64,53,0,4.52,AE,1696304889
270,tsiombe,-25.3,45.4833,66.9,47,14,13.42,MG,1696304889
271,christchurch,-43.5333,172.6333,55.9,49,9,2.3,NZ,1696304858
272,bafq,31.6128,55.4107,79.23,16,0,4.83,IR,1696304889
273,santa ana,33.7456,-117.8678,67.05,78,0,4.61,US,1696304688
274,yelan',50.949,43.7378,54.57,81,100,9.44,RU,1696304890
275,hilo,19.7297,-155.09,78.53,82,100,1.01,US,1696304787
276,lorengau,-2.0226,147.2712,85.62,71,61,8.39,PG,1696304890
277,outjo,-20.1167,16.15,75.58,24,98,3.58,NA,1696304890
278,viqueque,-8.8673,126.3658,88.36,52,0,8.48,TL,1696304890
279,kathu,7.9178,98.3332,84.02,78,94,11.61,TH,1696304891
280,tacuarembo,-31.7333,-55.9833,48.2,93,76,6.04,UY,1696304891
281,zango,13.0515,8.4877,76.8,59,100,0.94,NG,1696304891
282,vail,32.0479,-110.712,73.11,31,0,6.69,US,1696304891
283,batyrevo,55.0675,47.6111,53.49,91,100,4.63,RU,1696304891
284,muborak,39.2553,65.1528,70.57,17,8,9.04,UZ,1696304891
285,bonthe,7.5264,-12.505,77.0,90,98,3.87,SL,1696304892
286,eyl,7.9803,49.8164,80.17,76,39,12.21,SO,1696304892
287,salta,-24.7859,-65.4117,61.57,66,0,8.05,AR,1696304882
288,rio preto da eva,-2.6994,-59.6997,80.87,48,93,3.2,BR,1696304892
289,ballina,-28.8667,153.5667,84.78,52,0,17.63,AU,1696304892
290,cobija,-11.0267,-68.7692,79.3,76,98,2.3,BO,1696304892
291,t'aebaek,37.1759,128.9889,61.54,53,100,3.27,KR,1696304893
292,barah,13.7,30.3667,82.98,58,35,10.69,SD,1696304893
293,dubbo,-32.25,148.6167,89.73,17,59,26.46,AU,1696304893
294,madarounfa,13.3087,7.156,78.12,59,100,7.78,NE,1696304893
295,ixtapa,20.7,-105.2,83.23,94,100,5.75,MX,1696304893
296,island harbour,50.724,-1.2758,56.46,90,100,3.0,GB,1696304893
297,sanctuary point,-35.1114,150.629,89.98,35,83,8.81,AU,1696304893
298,haiku-pauwela,20.9219,-156.3051,82.42,68,20,6.91,US,1696304894
299,linxia chengguanzhen,35.6003,103.2064,56.44,81,100,1.86,CN,1696304730
300,port elizabeth,-33.918,25.5701,69.31,40,0,3.0,ZA,1696304894
301,chavusy,53.8075,30.9712,44.98,91,74,6.78,BY,1696304894
302,robertsport,6.7533,-11.3686,77.83,87,24,6.11,LR,1696304894
